Symbol,marketCap,trailingPE,forwardPE,pegRatio,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
BK,-0.16116877548778075,-0.4579593747702641,-0.3345955469418619,-0.10140387866355237,-0.22184748199686838,-0.15324091884721908,-0.16380078328785797,-0.04446807133552362,-0.09122429750636574,0.05041239206707405,0.6763031989431161,1.292667980489554,-0.07391795995915465,-1.474175767097573,0.46628157058100345
BA,-0.03699395248019549,-0.9353899300287759,0.8533827555870407,-0.12558674840927211,-0.2658016705368015,-0.5662017002939256,-0.29457625513105534,-0.04875457417738909,-0.17220608244338015,1.2097793478016532,0.37308222354663617,-1.3964101946051115,0.12454226148999838,-0.6705932175005962,-1.3712229943763978
BKNG,0.1283367924050474,-0.09378624442163261,-0.05484929568594569,-0.09441771629256665,-0.2658016705368015,5.48253116866312,6.924375908459078,-0.05393754548418852,-0.1464563058891054,0.8225507845863036,-1.19355948266851,0.567214061870967,-0.3016287968483474,0.24664740983094083,0.6460471490753794
BWA,-0.31744773234134666,-0.6434521472370276,-0.4610144856789028,-0.10650915116542654,-0.22713141460455402,-0.20016828037525392,-0.23064969766580526,-0.0457928989718994,-0.14450620066146083,0.3193855257974966,-0.15123737974311038,-1.1459742834149154,-0.1660355793038389,-0.8985075733788455,-0.6538706093920166
BSX,0.07312754649968149,1.027066350005472,0.24009179619505414,-0.04900766088115957,-0.08032016307960331,-0.2858617231655784,-0.3000556743423625,-0.04647584947098677,-0.17220608244338015,-0.5802832318525368,-1.19355948266851,1.1348611980418022,0.008632708049426766,0.7333831427257846,-0.1315245189692961
BMY,0.009002183652748129,-0.9353899300287759,-0.4572409382358944,-0.5278284818464107,-0.07775462943322814,-0.4686744011182706,-0.1459013471975879,-0.046764527454558225,-0.04672834392482966,-1.3616965600176432,0.9479386560691294,-1.090597222061797,0.44422421137927154,-0.3860492228914433,-2.0690227130481147
AVGO,2.351394936781945,3.066254936195345,0.1559017769026626,-0.07507142049599086,-0.17736133065495263,-0.2858617231655784,-0.17549021093864653,-0.04407427518631723,0.17248025876115403,0.3170667918860272,0.5562782295153428,1.9102344415650685,1.2965833285941686,-0.6145617791788218,-0.21434447624828637
BR,-0.2596136380298378,0.11025287566805675,0.004074806898706044,-0.06486087549224252,0.08454610101152694,-0.09733614902686459,-0.05896122904484771,-0.04622543958094706,-0.05769506472115351,0.02490631904091354,-0.16387158705129706,-0.1804159414557921,-0.2826683808970786,-0.15454566455841828,-0.2257936032006946
BRO,-0.2450982298191595,-0.08792300575876147,0.08595747961847898,-0.057874713121256804,-0.11780648037716364,-0.19445538418923228,-0.2536632583532953,-0.04608967518273276,-0.14169637162377938,-0.5107212145084622,-0.7639964341901635,0.6416032071858736,-0.23461546031331276,0.44903854825300815,0.6366797119826203
BLDR,-0.2675517112599057,-0.4457009365302133,-0.20134262134233444,0.1839539843359408,-0.10580607979164006,0.12709905828112802,0.042955968285465405,-0.04525227614017977,-0.17220608244338015,2.3645088357132944,-1.19355948266851,1.2427436251510926,-0.22509231582480435,-0.7310114588226517,-0.41016855550261866
BG,-0.2995610261605209,-0.6352969006645672,-0.392846801265384,-0.16186105302785178,-0.22600706663352893,0.023042734892876948,-0.04909827446449485,-0.04347119543846003,-0.10864942712089913,-0.9582368594220096,0.6068150587480895,-1.1730065556368652,-0.2430639735113627,-0.9800622291568016,-0.849917670821526
BXP,-0.2932331440067669,1.345330197454339,0.6701460514355119,-0.14573913986403858,-0.1961571461564436,-0.2927988113914618,-0.331836305767944,-0.04525370523910835,0.6032438253364519,0.3588040022924721,1.8070647530258221,0.6150010512625708,-0.2505790817329207,0.8518268237333787,-0.6476256513301772
